"Drug","Design","N_per_group","Total_animals","Dose_mgkg","Endpoint","Fraction_within_2fold","Median_fold_error","Fold_error_5th_percentile","Fold_error_95th_percentile"
"Avelumab","2 dose groups",3,6,10,"AUC0-28d",1,1.00222686108199,0.749025450770227,1.33513925783526
"Avelumab","2 dose groups",3,6,10,"Cmax",0.999,0.990585381591018,0.703259240705303,1.3299846024207
"Avelumab","2 dose groups",3,6,10,"Terminal clearance",1,0.943781722308712,0.723372364735438,1.33264435238447
"Avelumab","2 dose groups",4,8,0.3,"AUC0-28d",1,0.996077137835044,0.782960848286779,1.27454739121584
"Avelumab","2 dose groups",4,8,0.3,"Cmax",1,1.00396199394352,0.770934710079457,1.28607030225681
"Avelumab","2 dose groups",4,8,0.3,"Terminal clearance",1,0.978348219793437,0.783579718164495,1.2671155897827
"Avelumab","2 dose groups",4,8,10,"AUC0-28d",1,0.9971694280438,0.778367550447575,1.27278134864847
"Avelumab","2 dose groups",4,8,10,"Cmax",1,0.981965747662717,0.737811156107681,1.2857469094205
"Avelumab","2 dose groups",4,8,10,"Terminal clearance",1,0.964120011885351,0.753748064783773,1.2529576679578
"Avelumab","3 dose groups",2,6,0.3,"AUC0-28d",0.999,0.976316487382214,0.672876333433704,1.355098602491
"Avelumab","3 dose groups",2,6,0.3,"Cmax",0.997,0.983359803035027,0.656583922014187,1.41891335307826
"Avelumab","3 dose groups",2,6,0.3,"Terminal clearance",1,0.973334481222447,0.701632202455416,1.4396817494472
"Avelumab","3 dose groups",2,6,3,"AUC0-28d",0.996,0.985415121708038,0.693983555554949,1.42268190444272
"Avelumab","3 dose groups",2,6,3,"Cmax",0.998,0.965858435694131,0.661055845983119,1.43526744139239
"Avelumab","3 dose groups",2,6,3,"Terminal clearance",0.999,0.950100718104014,0.677215827424384,1.43076258658935
"Avelumab","3 dose groups",2,6,10,"AUC0-28d",0.998,0.987062206834281,0.690148861685518,1.42122975270257
"Avelumab","3 dose groups",2,6,10,"Cmax",0.996,0.985268500134767,0.64836876486322,1.42620312365233
"Avelumab","3 dose groups",2,6,10,"Terminal clearance",0.999,0.939192808489716,0.669099473673028,1.4382058128136
"Avelumab","3 dose groups",3,9,0.3,"AUC0-28d",1,0.998176653276298,0.757429888506287,1.31034724224813
"Avelumab","3 dose groups",3,9,0.3,"Cmax",1,0.980270335683241,0.706636531472505,1.33095332977518
"Avelumab","3 dose groups",3,9,0.3,"Terminal clearance",1,0.972524734529426,0.746781606578387,1.32721764735808
"Avelumab","3 dose groups",3,9,3,"AUC0-28d",1,0.996816036462962,0.729749326433014,1.3263204197127
"Avelumab","3 dose groups",3,9,3,"Cmax",1,0.995023830067852,0.711194241037694,1.32118989256352
"Avelumab","3 dose groups",3,9,3,"Terminal clearance",1,0.953062272771323,0.734286144518793,1.32804483985775
"Avelumab","3 dose groups",3,9,10,"AUC0-28d",1,0.996007799353256,0.744801489599823,1.35009869012811
"Avelumab","3 dose groups",3,9,10,"Cmax",0.999,0.981587161397915,0.721369427595859,1.30172823368367
"Avelumab","3 dose groups",3,9,10,"Terminal clearance",1,0.956566077377958,0.72406747072771,1.33611937665231
"Avelumab","3 dose groups",4,12,0.3,"AUC0-28d",1,0.995844326599322,0.787253650325705,1.2773146141222
