"Scenario_name","Drug","IndividualId","Dose_mgkg","Time_h","Time_day","Concentration_ug_mL"
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","12",0.3,48,2,4.28887515396643
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","12",0.3,144,6,3.0118736389772
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","12",0.3,240,10,2.12455376382507
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","12",0.3,336,14,1.49722272022723
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","12",0.3,504,21,0.810098207122466
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","12",0.3,672,28,0.437616445043064
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,0.25,0.0104166666666667,10.5488385382973
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,1,0.0416666666666667,10.3158883937272
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,2,0.0833333333333333,10.0225748377956
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,4,0.166666666666667,9.49007156106022
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,8,0.333333333333333,8.60868397498978
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,24,1,6.61081106714269
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,48,2,5.50427719413822
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,144,6,3.99262346174797
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,240,10,2.97805821760766
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,336,14,2.21007796303162
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,504,21,1.29611053684264
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","13",0.3,672,28,0.750382816484788
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,0.25,0.0104166666666667,5.7452474885569
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,1,0.0416666666666667,5.64921096781912
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,2,0.0833333333333333,5.52943983911539
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,4,0.166666666666667,5.31538934759541
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,8,0.333333333333333,4.97098579384999
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,24,1,4.22353181663465
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,48,2,3.74670618103391
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,144,6,2.65669274389581
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,240,10,1.88928289971466
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,336,14,1.34015965778474
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,504,21,0.731189990604773
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","14",0.3,672,28,0.397152755997528
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,0.25,0.0104166666666667,6.18015278698086
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,1,0.0416666666666667,6.07822547659223
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,2,0.0833333333333333,5.95085532554997
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,4,0.166666666666667,5.72248838993738
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,8,0.333333333333333,5.35293009626027
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,24,1,4.5434841392587
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,48,2,4.03637224217309
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,144,6,2.91898474373472
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,240,10,2.11514706952761
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,336,14,1.52496958517864
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,504,21,0.850750835443913
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","15",0.3,672,28,0.469149546801263
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,0.25,0.0104166666666667,4.54515942132195
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,1,0.0416666666666667,4.48731261925883
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,2,0.0833333333333333,4.4141957524307
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,4,0.166666666666667,4.2806146105797
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,8,0.333333333333333,4.05682730353801
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,24,1,3.52872939316403
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,48,2,3.19730770803604
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,144,6,2.59469222214093
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,240,10,2.13006510988324
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,336,14,1.74496712947375
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,504,21,1.22537704085238
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","16",0.3,672,28,0.85640122748741
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,0.25,0.0104166666666667,6.39164141232699
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,1,0.0416666666666667,6.27239758812909
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,2,0.0833333333333333,6.12079605799831
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,4,0.166666666666667,5.84107695919423
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,8,0.333333333333333,5.36329525117481
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,24,1,4.17212608039612
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,48,2,3.36651627498331
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,144,6,2.07417764492045
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,240,10,1.32512711404577
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,336,14,0.845116432928552
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,504,21,0.383475615241533
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","17",0.3,672,28,0.173613971169145
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,0.25,0.0104166666666667,8.21185590651178
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,1,0.0416666666666667,8.03204707531478
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,2,0.0833333333333333,7.80426204608665
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,4,0.166666666666667,7.38654488059694
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,8,0.333333333333333,6.68178416857817
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,24,1,4.99262180816934
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,48,2,3.94377761934984
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,144,6,2.41778932601046
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,240,10,1.54280274908874
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,336,14,0.981735280980415
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,504,21,0.442926170431919
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","18",0.3,672,28,0.199110061295013
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,0.25,0.0104166666666667,6.04811580233572
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,1,0.0416666666666667,5.91853274673516
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,2,0.0833333333333333,5.75698083625083
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,4,0.166666666666667,5.46862200372247
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,8,0.333333333333333,5.00701278568147
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,24,1,4.04729125440541
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,48,2,3.54519326936656
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,144,6,2.63881856760936
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,240,10,1.98298628702378
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,336,14,1.4880269136112
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,504,21,0.897769102227618
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","19",0.3,672,28,0.540240385333015
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,0.25,0.0104166666666667,5.2602137976647
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,1,0.0416666666666667,5.1814353286108
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,2,0.0833333333333333,5.08092632459175
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,4,0.166666666666667,4.89436805296535
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,8,0.333333333333333,4.5719578009772
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,24,1,3.73975224676824
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,48,2,3.14048180795767
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,144,6,2.10789386593597
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,240,10,1.46147699678775
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,336,14,1.01273016097793
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,504,21,0.532323445174638
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","2",0.3,672,28,0.27952721658969
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,0.25,0.0104166666666667,7.04984071711843
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,1,0.0416666666666667,6.88925121872976
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,2,0.0833333333333333,6.68865125511212
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,4,0.166666666666667,6.32936096343099
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,8,0.333333333333333,5.75010845804353
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,24,1,4.520023367253
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,48,2,3.85785070315782
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,144,6,2.70437730335058
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,240,10,1.9128553603815
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,336,14,1.34515033684616
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,504,21,0.717371208210269
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","20",0.3,672,28,0.377808819158064
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,0.25,0.0104166666666667,8.53991511118695
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,1,0.0416666666666667,8.34624453249891
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,2,0.0833333333333333,8.10940635648855
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,4,0.166666666666667,7.69963607919493
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,8,0.333333333333333,7.07874603372885
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,24,1,5.89202761210844
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,48,2,5.15254874944585
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,144,6,3.30112595058662
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,240,10,2.10890777524503
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,336,14,1.34161566004485
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,504,21,0.603435302214197
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","21",0.3,672,28,0.269810726460611
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,0.25,0.0104166666666667,5.70295868037479
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,1,0.0416666666666667,5.59680056368148
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,2,0.0833333333333333,5.46108514472954
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,4,0.166666666666667,5.20836295713091
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,8,0.333333333333333,4.769206876126
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,24,1,3.63016576493219
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,48,2,2.85487600003693
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,144,6,1.87466709936465
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,240,10,1.33137539090794
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,336,14,0.943765517725061
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,504,21,0.514076805718369
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","22",0.3,672,28,0.278669252433144
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,0.25,0.0104166666666667,5.98548695216681
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,1,0.0416666666666667,5.89111890623271
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,2,0.0833333333333333,5.77154523300212
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,4,0.166666666666667,5.55222620912085
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,8,0.333333333333333,5.18229431235858
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,24,1,4.30098099131646
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,48,2,3.7692436318831
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,144,6,2.98562039768375
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,240,10,2.42572319652101
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,336,14,1.97027876600466
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,504,21,1.36827223602474
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","23",0.3,672,28,0.949550106102948
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,0.25,0.0104166666666667,9.08530543454346
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,1,0.0416666666666667,8.68496463536913
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,2,0.0833333333333333,8.20878335127616
