"Scenario_name","Drug","IndividualId","Dose_mgkg","Rich_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","67",0.3,1412.22728186433
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","68",0.3,1096.10769225423
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","69",0.3,1325.6735806258
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","7",0.3,1653.44159356567
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","70",0.3,990.806103159362
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","71",0.3,1427.33027828633
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","72",0.3,1017.06616426357
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","73",0.3,1860.98473827157
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","74",0.3,1184.53862185488
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","75",0.3,1113.22241274951
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","76",0.3,1228.24836465614
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","77",0.3,961.874766527695
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","78",0.3,1379.29053313977
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","79",0.3,973.220073989094
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","8",0.3,1131.37485321046
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","80",0.3,1075.42384629679
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","81",0.3,1206.07893554443
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","82",0.3,1300.75881688757
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","83",0.3,1004.89453355548
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","84",0.3,1333.1545695518
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","85",0.3,1069.03137811425
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","86",0.3,1492.31696527873
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","87",0.3,1303.54188145572
