"Scenario_name","Drug","IndividualId","Dose_mgkg","Sparse_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","67",0.3,1421.54305632006
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","68",0.3,1105.69334883918
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","69",0.3,1339.96711648859
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","7",0.3,1672.30184791406
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","70",0.3,1003.9474820271
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","71",0.3,1445.59560060435
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","72",0.3,1030.9866221913
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","73",0.3,1871.05647583498
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","74",0.3,1197.4167577296
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","75",0.3,1123.91164803777
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","76",0.3,1260.99382930909
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","77",0.3,968.776600808509
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","78",0.3,1393.57809908303
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","79",0.3,983.645579514244
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","8",0.3,1147.76465686859
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","80",0.3,1082.31199362551
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","81",0.3,1220.20108778199
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","82",0.3,1315.66302224972
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","83",0.3,1013.73652268624
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","84",0.3,1346.06874071456
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","85",0.3,1083.47511601349
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","86",0.3,1507.41711093963
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","87",0.3,1314.74444021242
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","88",0.3,990.136293194516
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","89",0.3,1103.13998679121
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","9",0.3,1268.92877792008
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","90",0.3,1408.77021628475
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","91",0.3,964.915519324939
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","92",0.3,1058.48967880499
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","93",0.3,1158.66706788216
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","94",0.3,1306.00906006023
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","95",0.3,1239.33655468199
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","96",0.3,1144.22513961523
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","97",0.3,1226.39269959582
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","98",0.3,832.161041391715
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","99",0.3,1393.11581756716
"Atezolizumab_Monkey_Dose10","Atezolizumab","1",10,34609.357745158
"Atezolizumab_Monkey_Dose10","Atezolizumab","10",10,52695.2489941004
"Atezolizumab_Monkey_Dose10","Atezolizumab","100",10,39700.2129433502
"Atezolizumab_Monkey_Dose10","Atezolizumab","11",10,41011.6507096387
"Atezolizumab_Monkey_Dose10","Atezolizumab","12",10,45800.7405385124
"Atezolizumab_Monkey_Dose10","Atezolizumab","13",10,68069.066854999
"Atezolizumab_Monkey_Dose10","Atezolizumab","14",10,44250.3782019242
