"Molecule","Target","Run","OFV","Fit_Status","human_rtot_nm","human_kd_nm","human_koff_h","human_kon_inv_nmh","human_kint_h","human_kdeg_h","human_Kss_nM","monkey_CL_L_h_kg","human_CL_L_h_kg","human_CL_L_h","monkey_Q_L_h_kg","human_Q_L_h_kg","human_Q_L_h","monkey_Vc_L_kg","human_Vc_L_kg","human_Vc_L","monkey_Vp_L_kg","human_Vp_L_kg","human_Vp_L"
"Adalimumab","TNFA","Run4_CL_Vc_Q_Vp_fixed_TMDD",187.423628631729,"success",0.001,0.127,0.576,4.53543307086614,0.866,0.223,0.317940972222222,0.000359122896097047,0.000229133503370379,0.0160393452359265,0.001,0.000638036465679591,0.0446625525975714,0.0466867747522248,0.0466867747522248,3.26807423265573,0.02756,0.02756,1.9292
"Atezolizumab","PD-L1","Run4_CL_Vc_Q_Vp_fixed_TMDD",257.407002873657,"success",0.609,299,0.5616,0.00187826086956522,0.606,0.0426,621.638888888889,0.000228063419764074,0.000145512778297071,0.010185894480795,0.001,0.000638036465679591,0.0446625525975714,0.0395533203895627,0.0395533203895627,2.76873242726939,0.0221138093969242,0.0221138093969242,1.5479666577847
"Avelumab","PD-L1","Run4_CL_Vc_Q_Vp_fixed_TMDD",66.7319906179951,"success",0.609,0.0467,0.1044,2.2355460385439,0.25,0.0426,0.158529501915709,0.00115447221675017,0.000736595372900559,0.0515616761030391,0.0015295292687647,0.000975895448796117,0.0683126814157282,0.0435167867480987,0.0435167867480987,3.04617507236691,0.0393782778071602,0.0393782778071602,2.75647944650122
"Bevacizumab","VEGFA","Run4_CL_Vc_Q_Vp_fixed_TMDD",316.598431712359,"success",0.013,0.058,0.1116,1.92413793103448,0.48,0.48,0.307462365591398,0.00031897428317817,0.00020351722428168,0.0142462056997176,0.001,0.000638036465679591,0.0446625525975714,0.0474275111059045,0.0474275111059045,3.31992577741332,0.0270474509771506,0.0270474509771506,1.89332156840054
"Golimumab","TNFA","Run4_CL_Vc_Q_Vp_fixed_TMDD",84.2808533839705,"success",0.001,0.018,0.33498,18.61,0.866,0.223,0.064534121440086,0.00038218377905525,0.000243847187628481,0.0170693031339937,0.0038259007092724,0.0024410641665852,0.170874491660964,0.028836068915388,0.028836068915388,2.01852482407716,0.0171420304711075,0.0171420304711075,1.19994213297752
"Nivolumab","PD-1","Run4_CL_Vc_Q_Vp_fixed_TMDD",459.14704057942,"success",0.07138,1.45,6.84,4.71724137931034,0.027,0.027,1.45572368421053,0.000186733524941221,0.000119142798277388,0.00833999587941719,0.001,0.000638036465679591,0.0446625525975714,0.031245287937209,0.031245287937209,2.18717015560463,0.0149089142579186,0.0149089142579186,1.0436239980543
"Pembrolizumab","PD-1","Run4_CL_Vc_Q_Vp_fixed_TMDD",355.309420926694,"success",0.07138,0.31,0.102,0.329032258064516,0.027,0.027,0.392058823529412,0.000188920798417464,0.000120538358515645,0.00843768509609516,0.000705509627497869,0.000450140869231665,0.0315098608462166,0.0150179134075286,0.0150179134075286,1.05125393852701,0.0254134452241333,0.0254134452241333,1.77894116568933
"Tocilizumab","IL-6R","Run4_CL_Vc_Q_Vp_fixed_TMDD",111.650686843603,"success",1,1.34,0.7704,0.574925373134328,0.28,0.28,1.82701973001038,0.000804732746171568,0.000513448837183939,0.0359414186028757,0.001,0.000638036465679591,0.0446625525975714,0.0477244350820488,0.0477244350820488,3.34071045574342,0.0205879783517363,0.0205879783517363,1.44115848462154
