"Approach","Species","Target","Molecule","Dose (mg/kg)","Generic BW (kg)","Observed profiles_n","Observed AUClast_mean_ug_h_mL","Observed AUCinf_mean_ug_h_mL","Observed AUC_extrapolated_mean_pct","Observed AUC_extrapolated_min_pct","Observed AUC_extrapolated_max_pct","Observed terminal_half_life_mean_day","Observed Clearance_dose_AUCinf_mean_L_day","Observed AUC_extrapolated_over_20pct_flag","Predicted profiles_n","Predicted AUClast_mean_ug_h_mL","Predicted AUCinf_mean_ug_h_mL","Predicted AUC_extrapolated_mean_pct","Predicted AUC_extrapolated_min_pct","Predicted AUC_extrapolated_max_pct","Predicted terminal_half_life_mean_day","Predicted Clearance_dose_AUCinf_mean_L_day","Predicted AUC_extrapolated_over_20pct_flag"
"TopDown QSS TMDD","Human","PD-L1","Atezolizumab",10,70,1,48534.028,69996.843,30.663,30.663,30.663,12.571,0.24,">20%",1,54079.496,67721.284,20.144,20.144,20.144,12.298,0.248,">20%"
"TopDown QSS TMDD","Human","PD-L1","Atezolizumab",15,70,1,67867.29,97736.357,30.561,30.561,30.561,12.854,0.258,">20%",1,81276.682,102037.611,20.346,20.346,20.346,12.392,0.247,">20%"
"TopDown QSS TMDD","Human","PD-L1","Atezolizumab",20,70,1,100661.979,155484.091,35.259,35.259,35.259,14.201,0.216,">20%",1,108477.928,136373.993,20.456,20.456,20.456,12.443,0.246,">20%"
"TopDown QSS TMDD","Human","PD-L1","Avelumab",1,70,1,935.309,1046.096,10.591,10.591,10.591,2.207,1.606,"<=20%",1,1246.525,1246.532,0.001,0.001,0.001,1.192,1.348,"<=20%"
"TopDown QSS TMDD","Human","PD-L1","Avelumab",3,70,1,6227.483,6836.294,8.906,8.906,8.906,4.089,0.737,"<=20%",1,3930.523,3930.735,0.005,0.005,0.005,0.898,1.282,"<=20%"
"TopDown QSS TMDD","Human","PD-L1","Avelumab",10,70,2,35709.356,50182.575,24.286,11.936,36.636,11.097,0.387,">20%",1,13378.23,13409.043,0.23,0.23,0.23,2.487,1.253,"<=20%"
"TopDown QSS TMDD","Human","PD-L1","Avelumab",20,70,1,48921.982,57344.681,14.688,14.688,14.688,5.167,0.586,"<=20%",1,26877.19,26979.098,0.378,0.378,0.378,3.191,1.245,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Adalimumab",0.5,70,1,1970.749,2638.429,25.306,25.306,25.306,11.616,0.318,">20%",1,1890.996,2175.304,13.07,13.07,13.07,9.785,0.386,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Adalimumab",1,70,1,3357.258,4820.896,30.36,30.36,30.36,13.86,0.348,">20%",1,3784.623,4357.401,13.145,13.145,13.145,9.823,0.386,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Adalimumab",3,70,1,10139.804,14582.063,30.464,30.464,30.464,13.562,0.346,">20%",1,11359.139,13085.903,13.196,13.196,13.196,9.849,0.385,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Adalimumab",5,70,1,22508.64,32653.666,31.069,31.069,31.069,13.946,0.257,">20%",1,18933.66,21814.434,13.206,13.206,13.206,9.854,0.385,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Adalimumab",10,70,1,46716.582,68232.81,31.534,31.534,31.534,13.908,0.246,">20%",1,37869.878,43635.669,13.213,13.213,13.213,9.858,0.385,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Golimumab",0.1,70,1,241.804,282.27,14.336,14.336,14.336,4.675,0.595,"<=20%",1,396.08,406.795,2.634,2.634,2.634,5.197,0.413,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Golimumab",0.3,70,1,1075.919,1264.532,14.916,14.916,14.916,5.502,0.399,"<=20%",1,1192.058,1226.913,2.841,2.841,2.841,5.411,0.411,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Golimumab",1,70,1,3928.516,4876.742,19.444,19.444,19.444,6.829,0.344,"<=20%",1,3978.009,4097.536,2.917,2.917,2.917,5.489,0.41,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Golimumab",3,70,1,8502.008,10465.31,18.76,18.76,18.76,6.898,0.482,"<=20%",1,11937.887,12299.391,2.939,2.939,2.939,5.512,0.41,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Golimumab",6,70,1,20231.689,26446.346,23.499,23.499,23.499,6.992,0.381,">20%",1,23877.575,24602.051,2.945,2.945,2.945,5.517,0.41,"<=20%"
"TopDown QSS TMDD","Human","TNFA","Golimumab",10,70,1,28650.872,41585.116,31.103,31.103,31.103,10.072,0.404,">20%",1,39797.249,41005.697,2.947,2.947,2.947,5.52,0.41,"<=20%"
"TopDown QSS TMDD","Human","VEGFA","Bevacizumab",15,70,1,61101.042,91027.437,32.876,32.876,32.876,15.658,0.277,">20%",1,61478.565,73473.576,16.326,16.326,16.326,10.973,0.343,"<=20%"
