"Run","Species","Target","Molecule","Dose (mg/kg)","Generic BW (kg)","Observed Cmax (ug/mL)","Predicted Cmax (ug/mL)","FE Cmax","Observed AUC0-28d (ug*h/mL)","Predicted AUC0-28d (ug*h/mL)","FE AUC0-28d","Observed AUCinf (ug*h/mL)","Predicted AUCinf (ug*h/mL)","FE AUCinf","Observed terminal CL (L/day)","Predicted terminal CL (L/day)","FE terminal CL","Observed mean profile concentration (ug/mL)","Predicted mean profile concentration (ug/mL)","Mean pointwise FE","GOF timepoints (n)"
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Monkey","TNFA","Adalimumab",3,3.5,79.29,63.2810344990472,0.79809603353572,6047.62271225406,5988.43933675508,0.990213778485378,7396.08186805292,8350.2432236116,1.12900903107632,0.0340720944542953,0.0301787616542032,0.885732507424378,40.7367564419863,38.4435263304984,0.978037424007577,10
"Run5_CL_Vc_Q_Vp_Run4_initials","Monkey","TNFA","Adalimumab",3,3.5,79.29,67.9548866462555,0.857042333790585,6047.62271225406,5892.67419211646,0.974378606683973,7396.08186805292,8826.66274279388,1.19342415352652,0.0340720944542953,0.0285498616343684,0.837925055434016,40.7367564419863,38.8764186466659,0.979957451187226,10
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Monkey","PD-L1","Atezolizumab",0.5,3.5,9.11,12.4259589879411,1.36399110734809,680.455977871789,1004.0488932473,1.47555304957066,1086.2125929705,2069.13424810244,1.90490725433766,0.0386664638872774,0.0202983446040378,0.524959941080019,5.58908792824469,8.14336888426807,1.45781381739681,9
"Run5_CL_Vc_Q_Vp_Run4_initials","Monkey","PD-L1","Atezolizumab",0.5,3.5,9.11,13.4204785069161,1.47315900185687,680.455977871789,1014.74326285731,1.49126952493098,1086.2125929705,2103.5170095969,1.93656105923458,0.0386664638872774,0.0199665606735685,0.516379277189042,5.58908792824469,8.34167479292892,1.48857794513794,9
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Monkey","PD-L1","Atezolizumab",5,3.5,118.8,123.559777101775,1.04006546381965,13895.6276775864,15370.9444892197,1.10617129689024,16019.4620961191,21624.2229120425,1.34987197337176,0.0262181087904162,0.0194226632655596,0.740810995210279,71.2276726715017,76.4134606987145,1.08070187665889,10
"Run5_CL_Vc_Q_Vp_Run4_initials","Monkey","PD-L1","Atezolizumab",5,3.5,118.8,132.882217569048,1.11853718492465,13895.6276775864,15575.5917214657,1.120898751957,16019.4620961191,21774.6471506666,1.35926206635501,0.0262181087904162,0.019288487069107,0.735693303559627,71.2276726715017,78.1051165661947,1.10375124463994,10
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Monkey","PD-L1","Atezolizumab",20,3.5,603.49,496.091878694073,0.822038275189436,69258.0459770655,61147.4560094886,0.88289317359224,101361.590977545,87590.9501803919,0.86414340319299,0.0165743254796797,0.0191800636542939,1.15721533752965,352.776726993411,309.795037973674,0.883401241161844,10
"Run5_CL_Vc_Q_Vp_Run4_initials","Monkey","PD-L1","Atezolizumab",20,3.5,603.49,534.947383324765,0.886422945408814,69258.0459770655,61895.6971977424,0.893696845247972,101361.590977545,88075.8170731988,0.868926939916623,0.0165743254796797,0.0190744753307684,1.15084474201704,352.776726993411,317.185881318788,0.901078047430645,10
"Run4_CL_Vc_Q_Vp_fixed_TMDD","Monkey","PD-L1","Avelumab",5,3.5,102.19,102.726528952831,1.00525030778776,3952.80947306448,3944.87996726239,0.997993956992836,4271.28080333827,4237.37358585764,0.992061580813386,0.0983311609182295,0.0991180011603798,1.00800194195617,44.6230605704537,44.5426811721803,1.00168700532369,10
"Run5_CL_Vc_Q_Vp_Run4_initials","Monkey","PD-L1","Avelumab",5,3.5,102.19,102.773618204988,1.00571110876787,3952.80947306448,3944.72736408866,0.997955350737015,4271.28080333827,4237.23943825873,0.992030173934494,0.0983311609182295,0.0991211391567234,1.00803385448841,44.6230605704537,44.5501130796965,1.00181271387377,10
