"Scenario","Molecule","Species","Dose","Parameter","VariationFactor","ParameterValue","ParameterUnit","Pred_CL_L_day"
"Atezolizumab_Monkey_5_mpk","Atezolizumab","Monkey",5,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.0255564365896048
"Atezolizumab_Monkey_5_mpk","Atezolizumab","Monkey",5,"Target reference concentration",10,0.00609,"µmol/l",0.0270338206066476
"Atezolizumab_Monkey_5_mpk","Atezolizumab","Monkey",5,"kdeg",0.1,7.1e-05,"1/min",0.0255814122932579
"Atezolizumab_Monkey_5_mpk","Atezolizumab","Monkey",5,"kdeg",10,0.0071,"1/min",0.025861394728912
"Atezolizumab_Monkey_5_mpk","Atezolizumab","Monkey",5,"kint",0.1,0.00101,"1/min",0.0255937889150601
"Atezolizumab_Monkey_5_mpk","Atezolizumab","Monkey",5,"kint",10,0.101,"1/min",0.0257384472836131
