"Scenario","Molecule","Species","Dose","Parameter","VariationFactor","ParameterValue","ParameterUnit","Pred_CL_L_day"
"Bevacizumab_Human_15_mpk","Bevacizumab","Human",15,"Target reference concentration",0.1,1.3e-06,"µmol/l",0.22738247778236
"Bevacizumab_Human_15_mpk","Bevacizumab","Human",15,"Target reference concentration",10,0.00013,"µmol/l",0.22738247778236
"Bevacizumab_Human_15_mpk","Bevacizumab","Human",15,"kdeg",0.1,8e-04,"1/min",0.22738247778236
"Bevacizumab_Human_15_mpk","Bevacizumab","Human",15,"kdeg",10,0.08,"1/min",0.22738247778236
"Bevacizumab_Human_15_mpk","Bevacizumab","Human",15,"kint",0.1,8e-04,"1/min",0.22738247778236
"Bevacizumab_Human_15_mpk","Bevacizumab","Human",15,"kint",10,0.08,"1/min",0.22738247778236
