"Species","Target","Molecule","Dose (mg/kg)","Parameter varied","Variation (fold)","Varied parameter value","Parameter unit","Reference terminal CL (L/day)","Varied terminal CL (L/day)","Delta terminal CL (%)","Normalized sensitivity coefficient","Normalized sensitivity index (no sensitivity = 1)"
"Human","PD-1","Nivolumab",20,"Target reference concentration",0.1,7.138e-06,"µmol/l",0.234621075508082,0.234620986676804,-3.78615933382953e-05,1.64430841756936e-07,1.00000016443084
"Human","PD-1","Nivolumab",20,"Target reference concentration",10,0.0007138,"µmol/l",0.234621075508082,0.234620986676804,-3.78615933382953e-05,-1.64430841756936e-07,0.999999835569158
"Human","PD-1","Nivolumab",20,"kdeg",0.1,4.5e-05,"1/min",0.234621075508082,0.234620986676804,-3.78615933382953e-05,1.64430841756936e-07,1.00000016443084
"Human","PD-1","Nivolumab",20,"kdeg",10,0.0045,"1/min",0.234621075508082,0.234620986676804,-3.78615933382953e-05,-1.64430841756936e-07,0.999999835569158
"Human","PD-1","Nivolumab",20,"kint",0.1,4.5e-05,"1/min",0.234621075508082,0.234620986676804,-3.78615933382953e-05,1.64430841756936e-07,1.00000016443084
"Human","PD-1","Nivolumab",20,"kint",10,0.0045,"1/min",0.234621075508082,0.234620986676804,-3.78615933382953e-05,-1.64430841756936e-07,0.999999835569158
"Human","PD-1","Pembrolizumab",2,"Target reference concentration",0.1,7.138e-06,"µmol/l",0.0377164908965225,0.0377165646537676,0.00019555701857854,-8.49292510235833e-07,0.99999915070749
"Human","PD-1","Pembrolizumab",2,"Target reference concentration",10,0.0007138,"µmol/l",0.0377164908965225,0.0377165646537676,0.00019555701857854,8.49292510235833e-07,1.00000084929251
"Human","PD-1","Pembrolizumab",2,"kdeg",0.1,4.5e-05,"1/min",0.0377164908965225,0.0377165646537676,0.00019555701857854,-8.49292510235833e-07,0.99999915070749
"Human","PD-1","Pembrolizumab",2,"kdeg",10,0.0045,"1/min",0.0377164908965225,0.0377165646537676,0.00019555701857854,8.49292510235833e-07,1.00000084929251
"Human","PD-1","Pembrolizumab",2,"kint",0.1,4.5e-05,"1/min",0.0377164908965225,0.0377165646537676,0.00019555701857854,-8.49292510235833e-07,0.99999915070749
