"Scenario","Molecule","Species","Dose","Parameter","VariationFactor","ParameterValue","ParameterUnit","Pred_CL_L_day"
"Atezolizumab_Monkey_20_mpk","Atezolizumab","Monkey",20,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.0262375706850478
"Atezolizumab_Monkey_20_mpk","Atezolizumab","Monkey",20,"Target reference concentration",10,0.00609,"µmol/l",0.0269222455599476
"Atezolizumab_Monkey_20_mpk","Atezolizumab","Monkey",20,"kdeg",0.1,7.1e-05,"1/min",0.0262435139539165
"Atezolizumab_Monkey_20_mpk","Atezolizumab","Monkey",20,"kdeg",10,0.0071,"1/min",0.0264571562154503
"Atezolizumab_Monkey_20_mpk","Atezolizumab","Monkey",20,"kint",0.1,0.00101,"1/min",0.0262638346437533
"Atezolizumab_Monkey_20_mpk","Atezolizumab","Monkey",20,"kint",10,0.101,"1/min",0.0263125673197128
