"Scenario","Molecule","Species","Dose","Parameter","VariationFactor","ParameterValue","ParameterUnit","Pred_CL_L_day"
"Nivolumab_Human_20_mpk","Nivolumab","Human",20,"Target reference concentration",0.1,7.138e-06,"µmol/l",0.234620986676804
"Nivolumab_Human_20_mpk","Nivolumab","Human",20,"Target reference concentration",10,0.0007138,"µmol/l",0.234620986676804
"Nivolumab_Human_20_mpk","Nivolumab","Human",20,"kdeg",0.1,4.5e-05,"1/min",0.234620986676804
"Nivolumab_Human_20_mpk","Nivolumab","Human",20,"kdeg",10,0.0045,"1/min",0.234620986676804
"Nivolumab_Human_20_mpk","Nivolumab","Human",20,"kint",0.1,4.5e-05,"1/min",0.234620986676804
"Nivolumab_Human_20_mpk","Nivolumab","Human",20,"kint",10,0.0045,"1/min",0.234620986676804
