"Species","Target","Molecule","Parameter varied","Variation (fold)","Mean delta terminal CL (%)","Mean normalized sensitivity coefficient","Mean normalized sensitivity index (no sensitivity = 1)","Doses averaged (n)"
"Monkey","PD-1","Nivolumab","Target reference concentration",10,0.271277034882189,0.00117571417836889,1.00117571417837,2
"Monkey","PD-1","Nivolumab","kdeg",0.1,-0.0242361154946691,0.000105275276717922,1.00010527527672,2
"Monkey","PD-1","Nivolumab","kdeg",10,0.0915982216832534,0.000397572850503717,1.0003975728505,2
"Monkey","PD-1","Nivolumab","kint",0.1,-0.0205969685307283,8.94668986259099e-05,1.00008946689863,2
"Monkey","PD-1","Nivolumab","kint",10,0.0156113800716895,6.77895649564886e-05,1.00006778956496,2
"Monkey","PD-1","Pembrolizumab","Target reference concentration",0.1,-0.172989843578538,0.000752858271053343,1.00075285827105,3
"Monkey","PD-1","Pembrolizumab","Target reference concentration",10,1.7521527406799,0.00745330367107151,1.00745330367107,3
"Monkey","PD-1","Pembrolizumab","kdeg",0.1,-0.166785413731711,0.000725798405206207,1.00072579840521,3
"Monkey","PD-1","Pembrolizumab","kdeg",10,1.01086472423677,0.00434299750245809,1.00434299750246,3
"Monkey","PD-1","Pembrolizumab","kint",0.1,-0.0586306101838741,0.000254845255261563,1.00025484525526,3
"Monkey","PD-1","Pembrolizumab","kint",10,0.0147430115805684,6.40142899347004e-05,1.00006401428993,3
"Monkey","PD-L1","Atezolizumab","Target reference concentration",0.1,-0.632557026518802,0.00275892218960446,1.0027589221896,3
"Monkey","PD-L1","Atezolizumab","Target reference concentration",10,6.24224225234841,0.0260423920774089,1.02604239207741,3
"Monkey","PD-L1","Atezolizumab","kdeg",0.1,-0.406953752656721,0.00177145677240427,1.0017714567724,3
"Monkey","PD-L1","Atezolizumab","kdeg",10,0.512524054466157,0.0022195998218674,1.00221959982187,3
"Monkey","PD-L1","Atezolizumab","kint",0.1,-0.498729394239365,0.00217407323586743,1.00217407323587,3
"Monkey","PD-L1","Atezolizumab","kint",10,0.308146792127325,0.00133450293799369,1.00133450293799,3
"Monkey","PD-L1","Avelumab","Target reference concentration",0.1,-1.43974868699256,0.0062981977961959,1.0062981977962,1
"Monkey","PD-L1","Avelumab","Target reference concentration",10,10.9342833834025,0.0450657822476039,1.0450657822476,1
"Monkey","PD-L1","Avelumab","kdeg",0.1,-1.3986703770447,0.00611722862857493,1.00611722862857,1
"Monkey","PD-L1","Avelumab","kdeg",10,10.1036368425369,0.0418016644264239,1.04180166442642,1
"Monkey","PD-L1","Avelumab","kint",0.1,-0.0359789916154707,0.000156282891420812,1.00015628289142,1
"Monkey","PD-L1","Avelumab","kint",10,0.00414596022815239,1.80053032489925e-05,1.00001800530325,1
"Monkey","TNFA","Adalimumab","Target reference concentration",0.1,-0.0120788943047567,5.24611398670902e-05,1.00005246113987,1
"Monkey","TNFA","Adalimumab","Target reference concentration",10,0.12079790398325,0.000524302022044687,1.00052430202204,1
"Monkey","TNFA","Adalimumab","kdeg",0.1,-0.0119769523304836,5.20183582406441e-05,1.00005201835824,1
"Monkey","TNFA","Adalimumab","kdeg",10,0.102446568215231,0.00044469204566127,1.00044469204566,1
"Monkey","TNFA","Adalimumab","kint",0.1,-0.000870586631307457,3.78092615809841e-06,1.00000378092616,1
"Monkey","TNFA","Adalimumab","kint",10,0.000117650103192979,5.10947605555455e-07,1.00000051094761,1
"Monkey","TNFA","Golimumab","Target reference concentration",0.1,-0.0123027177086676,5.34333110749897e-05,1.00005343331107,1
"Monkey","TNFA","Golimumab","Target reference concentration",10,0.123170684457663,0.000534594321724101,1.00053459432172,1
"Monkey","TNFA","Golimumab","kdeg",0.1,-0.0122424263393595,5.3171436846317e-05,1.00005317143685,1
"Monkey","TNFA","Golimumab","kdeg",10,0.117152065240611,0.000508487161292713,1.00050848716129,1
"Monkey","TNFA","Golimumab","kint",0.1,-0.000161103289753051,6.99663261152523e-07,1.00000069966326,1
"Monkey","TNFA","Golimumab","kint",10,2.14012862098656e-05,9.29445951200988e-08,1.0000000929446,1
"Monkey","VEGFA","Bevacizumab","Target reference concentration",0.1,-2.3428316705861,0.0102969063878643,1.01029690638786,2
"Monkey","VEGFA","Bevacizumab","Target reference concentration",10,15.3376345637236,0.0619492281627854,1.06194922816279,2
"Monkey","VEGFA","Bevacizumab","kdeg",0.1,-2.31235873856903,0.0101613589555687,1.01016135895557,2
"Monkey","VEGFA","Bevacizumab","kdeg",10,12.1926281677209,0.0499535079518784,1.04995350795188,2
"Monkey","VEGFA","Bevacizumab","kint",0.1,-0.255412702634111,0.00111068949523829,1.00111068949524,2
"Monkey","VEGFA","Bevacizumab","kint",10,0.0336754362448399,0.000146225462222892,1.00014622546222,2
