"Scenario","Molecule","Species","Dose","Parameter","VariationFactor","ParameterValue","ParameterUnit","Pred_CL_L_day"
"Adalimumab_Monkey_3_mpk","Adalimumab","Monkey",3,"Target reference concentration",0.1,1e-07,"µmol/l",0.0364905630570656
"Adalimumab_Monkey_3_mpk","Adalimumab","Monkey",3,"Target reference concentration",10,1e-05,"µmol/l",0.0365390564063935
"Adalimumab_Monkey_3_mpk","Adalimumab","Monkey",3,"kdeg",0.1,0.000371666666666667,"1/min",0.0364906002607598
"Adalimumab_Monkey_3_mpk","Adalimumab","Monkey",3,"kdeg",10,0.0371666666666667,"1/min",0.0365323590916817
"Adalimumab_Monkey_3_mpk","Adalimumab","Monkey",3,"kint",0.1,0.00144333333333333,"1/min",0.0364946535257282
"Adalimumab_Monkey_3_mpk","Adalimumab","Monkey",3,"kint",10,0.144333333333333,"1/min",0.0364950141824403
